,0,1,2,3,4,5,6
0,-0.5,-0.5,0.14,0.14,0.67,0.96,0.26
1,0.7,0.61,0.15,0.18,0.68,0.98,0.72
2,1.2,1.03,0.2,0.26,0.65,0.8,1.0
3,0.65,0.58,0.14,0.15,0.68,0.99,0.57
4,-0.9,-0.76,0.17,0.22,0.66,0.88,0.93
5,1.4,1.21,0.2,0.27,0.66,0.71,1.0
6,0.2,0.01,0.05,0.2,0.03,0.02,0.01
7,-0.4,-0.49,0.14,0.16,0.66,0.92,0.18
8,-1.3,-1.11,0.18,0.26,0.65,0.8,1.0
9,0.1,-0.0,0.0,0.1,0.02,0.0,0.0
10,0.0,-0.0,0.0,0.0,0.02,1.0,0.0
11,0.0,0.01,0.04,0.04,0.03,1.0,0.0
12,0.0,0.0,0.02,0.02,0.02,1.0,0.0
13,0.0,-0.0,0.04,0.04,0.02,0.99,0.01
14,0.0,0.0,0.0,0.0,0.02,0.99,0.01
15,0.0,-0.0,0.01,0.01,0.02,1.0,0.0
16,0.0,-0.0,0.04,0.04,0.03,0.98,0.02
17,0.0,0.0,0.02,0.02,0.02,0.98,0.02
18,0.0,0.0,0.02,0.02,0.02,1.0,0.0
19,0.0,-0.0,0.02,0.02,0.02,0.99,0.01
20,0.0,0.0,0.02,0.02,0.02,0.99,0.01
21,0.0,0.0,0.01,0.01,0.02,0.98,0.02
22,0.0,0.0,0.0,0.0,0.02,0.98,0.02
23,0.0,0.0,0.02,0.02,0.02,0.99,0.01
24,0.0,0.0,0.02,0.02,0.02,1.0,0.0
25,0.0,-0.0,0.0,0.0,0.02,1.0,0.0
26,0.0,-0.0,0.0,0.0,0.02,1.0,0.0
27,0.0,-0.0,0.0,0.0,0.02,1.0,0.0
28,0.0,-0.0,0.03,0.03,0.02,0.98,0.02
29,0.0,-0.0,0.02,0.02,0.02,1.0,0.0
30,0.0,0.0,0.0,0.0,0.02,1.0,0.0
31,0.0,-0.0,0.02,0.02,0.02,0.98,0.02
32,0.0,-0.0,0.02,0.02,0.02,0.98,0.02
33,0.0,-0.0,0.02,0.02,0.02,1.0,0.0
34,0.0,0.0,0.0,0.0,0.02,0.98,0.02
35,0.0,-0.0,0.01,0.01,0.02,0.98,0.02
36,0.0,-0.0,0.02,0.02,0.02,0.98,0.02
37,0.0,0.0,0.0,0.0,0.02,0.99,0.01
38,0.0,0.0,0.03,0.03,0.02,1.0,0.0
39,0.0,0.0,0.02,0.02,0.02,0.99,0.01
40,0.0,-0.0,0.0,0.0,0.02,0.98,0.02
41,0.0,0.0,0.02,0.02,0.02,0.99,0.01
42,0.0,-0.0,0.01,0.01,0.02,1.0,0.0
43,0.0,0.0,0.0,0.0,0.02,1.0,0.0
44,0.0,-0.0,0.02,0.02,0.02,1.0,0.0
45,0.0,-0.0,0.0,0.0,0.02,1.0,0.0
46,0.0,0.0,0.01,0.01,0.02,1.0,0.0
47,0.0,0.0,0.0,0.0,0.02,1.0,0.0
48,0.0,-0.0,0.0,0.0,0.02,1.0,0.0
49,0.0,-0.0,0.04,0.04,0.02,1.0,0.0
50,0.0,0.0,0.0,0.0,0.02,1.0,0.0
51,0.0,0.0,0.02,0.02,0.02,0.99,0.01
52,0.0,0.0,0.02,0.02,0.02,1.0,0.0
53,0.0,0.0,0.01,0.01,0.02,1.0,0.0
54,0.0,-0.0,0.03,0.03,0.02,1.0,0.0
55,0.0,-0.0,0.03,0.03,0.03,0.98,0.02
56,0.0,0.0,0.0,0.0,0.02,1.0,0.0
57,0.0,-0.0,0.03,0.03,0.02,0.97,0.03
58,0.0,-0.0,0.0,0.0,0.02,0.98,0.02
59,0.0,-0.0,0.02,0.02,0.02,0.98,0.02
60,0.0,-0.0,0.03,0.03,0.02,0.99,0.01
61,0.0,0.0,0.02,0.02,0.02,1.0,0.0
62,0.0,-0.0,0.03,0.03,0.02,0.99,0.01
63,0.0,-0.0,0.0,0.0,0.02,0.99,0.01
64,0.0,-0.0,0.0,0.0,0.02,0.99,0.01
65,0.0,-0.0,0.0,0.0,0.02,0.99,0.01
66,0.0,0.0,0.0,0.0,0.02,0.98,0.02
67,0.0,-0.0,0.0,0.0,0.02,1.0,0.0
68,0.0,-0.0,0.01,0.01,0.02,0.99,0.01
69,0.0,-0.0,0.0,0.0,0.02,1.0,0.0
70,0.0,0.0,0.0,0.0,0.02,1.0,0.0
71,0.0,0.0,0.02,0.02,0.02,0.98,0.02
72,0.0,-0.0,0.02,0.02,0.02,0.98,0.02
73,0.0,0.0,0.0,0.0,0.02,1.0,0.0
74,0.0,0.0,0.05,0.05,0.03,1.0,0.0
75,0.0,0.0,0.0,0.0,0.02,0.99,0.01
76,0.0,0.0,0.03,0.03,0.02,1.0,0.0
