,0,1,2,3,4,5,6
0,-0.5,-0.46,0.29,0.29,0.0,0.0,0.26
1,0.7,0.54,0.28,0.32,0.0,0.0,0.57
2,1.2,0.92,0.42,0.5,0.0,0.0,0.96
3,0.65,0.56,0.32,0.33,0.0,0.0,0.43
4,-0.9,-0.68,0.34,0.41,0.0,0.0,0.77
5,1.4,1.09,0.41,0.51,0.0,0.0,1.0
6,0.2,0.27,0.25,0.26,0.0,0.0,0.07
7,-0.4,-0.5,0.27,0.29,0.0,0.0,0.22
8,-1.3,-1.0,0.37,0.48,0.0,0.0,0.98
9,0.1,-0.0,0.07,0.13,0.0,0.0,0.02
10,0.0,0.0,0.06,0.06,0.0,0.0,0.01
11,0.0,0.01,0.08,0.08,0.0,0.0,0.03
12,0.0,0.01,0.08,0.08,0.0,0.0,0.02
13,0.0,0.0,0.09,0.09,0.0,0.0,0.03
14,0.0,0.0,0.09,0.09,0.0,0.0,0.02
15,0.0,0.0,0.04,0.04,0.0,0.0,0.02
16,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
17,0.0,0.01,0.06,0.06,0.0,0.0,0.02
18,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
19,0.0,0.0,0.04,0.04,0.0,0.0,0.03
20,0.0,0.0,0.04,0.04,0.0,0.0,0.02
21,0.0,0.0,0.03,0.03,0.0,0.0,0.03
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.07,0.07,0.0,0.0,0.02
24,0.0,0.0,0.03,0.03,0.0,0.0,0.01
25,0.0,-0.0,0.02,0.02,0.0,0.0,0.01
26,0.0,-0.0,0.08,0.08,0.0,0.0,0.02
27,0.0,0.0,0.05,0.05,0.0,0.0,0.03
28,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
29,0.0,-0.01,0.05,0.05,0.0,0.0,0.02
30,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
31,0.0,-0.0,0.01,0.01,0.0,0.0,0.01
32,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
33,0.0,0.0,0.04,0.04,0.0,0.0,0.02
34,0.0,-0.01,0.07,0.07,0.0,0.0,0.02
35,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
36,0.0,0.0,0.04,0.04,0.0,0.0,0.01
37,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
38,0.0,-0.0,0.02,0.02,0.0,0.0,0.01
39,0.0,-0.0,0.06,0.06,0.0,0.0,0.04
40,0.0,0.0,0.06,0.06,0.0,0.0,0.01
41,0.0,-0.0,0.07,0.07,0.0,0.0,0.02
42,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
43,0.0,-0.0,0.05,0.05,0.0,0.0,0.01
44,0.0,0.0,0.03,0.03,0.0,0.0,0.01
45,0.0,0.0,0.06,0.06,0.0,0.0,0.05
46,0.0,0.0,0.05,0.05,0.0,0.0,0.02
47,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
48,0.0,0.0,0.04,0.04,0.0,0.0,0.02
49,0.0,-0.01,0.09,0.09,0.0,0.0,0.02
50,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
51,0.0,-0.0,0.03,0.03,0.0,0.0,0.0
52,0.0,0.0,0.05,0.05,0.0,0.0,0.02
