,0,1,2,3,4,5,6
0,-0.5,-0.55,0.28,0.29,0.0,0.0,0.31
1,0.7,0.71,0.24,0.24,0.0,0.0,0.61
2,1.2,1.13,0.42,0.42,0.0,0.0,0.98
3,0.65,0.69,0.34,0.34,0.0,0.0,0.48
4,-0.9,-0.87,0.34,0.34,0.0,0.0,0.82
5,1.4,1.31,0.41,0.42,0.0,0.0,1.0
6,0.2,0.34,0.24,0.27,0.0,0.0,0.08
7,-0.4,-0.58,0.28,0.34,0.0,0.0,0.28
8,-1.3,-1.2,0.38,0.39,0.0,0.0,1.0
9,0.1,-0.0,0.1,0.14,0.0,0.0,0.02
10,0.0,0.0,0.08,0.08,0.0,0.0,0.01
11,0.0,0.02,0.09,0.1,0.0,0.0,0.04
12,0.0,0.01,0.1,0.1,0.0,0.0,0.02
13,0.0,0.0,0.11,0.11,0.0,0.0,0.03
14,0.0,0.0,0.11,0.11,0.0,0.0,0.03
15,0.0,0.0,0.05,0.06,0.0,0.0,0.02
16,0.0,-0.0,0.06,0.06,0.0,0.0,0.04
17,0.0,0.01,0.07,0.07,0.0,0.0,0.02
18,0.0,0.0,0.05,0.05,0.0,0.0,0.02
19,0.0,0.0,0.05,0.05,0.0,0.0,0.03
20,0.0,0.0,0.06,0.06,0.0,0.0,0.04
21,0.0,0.0,0.06,0.06,0.0,0.0,0.04
22,0.0,-0.0,0.01,0.01,0.0,0.0,0.0
23,0.0,0.0,0.09,0.09,0.0,0.0,0.02
24,0.0,0.0,0.04,0.04,0.0,0.0,0.01
25,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
26,0.0,-0.0,0.11,0.11,0.0,0.0,0.02
27,0.0,0.0,0.06,0.06,0.0,0.0,0.04
28,0.0,-0.0,0.06,0.06,0.0,0.0,0.02
29,0.0,-0.01,0.07,0.07,0.0,0.0,0.02
30,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
31,0.0,-0.0,0.02,0.02,0.0,0.0,0.02
32,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
33,0.0,0.0,0.05,0.05,0.0,0.0,0.02
34,0.0,-0.01,0.09,0.09,0.0,0.0,0.02
35,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
36,0.0,0.0,0.05,0.05,0.0,0.0,0.02
37,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
38,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
39,0.0,-0.0,0.08,0.08,0.0,0.0,0.04
40,0.0,0.0,0.08,0.08,0.0,0.0,0.02
41,0.0,-0.0,0.09,0.09,0.0,0.0,0.04
42,0.0,-0.01,0.06,0.06,0.0,0.0,0.02
43,0.0,-0.01,0.08,0.08,0.0,0.0,0.02
44,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
45,0.0,0.0,0.08,0.08,0.0,0.0,0.06
46,0.0,0.0,0.07,0.07,0.0,0.0,0.02
47,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
48,0.0,0.0,0.06,0.06,0.0,0.0,0.02
49,0.0,-0.01,0.11,0.11,0.0,0.0,0.02
50,0.0,-0.0,0.06,0.06,0.0,0.0,0.04
51,0.0,-0.0,0.04,0.04,0.0,0.0,0.0
52,0.0,0.0,0.06,0.06,0.0,0.0,0.02
53,0.0,-0.0,0.03,0.03,0.0,0.0,0.01
54,0.0,0.0,0.06,0.06,0.0,0.0,0.02
55,0.0,-0.0,0.07,0.07,0.0,0.0,0.04
56,0.0,0.01,0.07,0.07,0.0,0.0,0.02
57,0.0,-0.01,0.08,0.08,0.0,0.0,0.01
58,0.0,0.0,0.05,0.05,0.0,0.0,0.04
59,0.0,0.0,0.08,0.08,0.0,0.0,0.04
60,0.0,-0.01,0.09,0.09,0.0,0.0,0.04
61,0.0,0.01,0.12,0.12,0.0,0.0,0.04
62,0.0,0.01,0.05,0.05,0.0,0.0,0.02
63,0.0,-0.0,0.02,0.03,0.0,0.0,0.02
64,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
65,0.0,-0.01,0.08,0.08,0.0,0.0,0.02
66,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
67,0.0,0.0,0.04,0.04,0.0,0.0,0.02
68,0.0,-0.01,0.05,0.05,0.0,0.0,0.02
69,0.0,0.0,0.07,0.07,0.0,0.0,0.02
70,0.0,0.0,0.02,0.02,0.0,0.0,0.01
71,0.0,0.0,0.06,0.06,0.0,0.0,0.02
72,0.0,0.0,0.12,0.12,0.0,0.0,0.03
73,0.0,-0.0,0.04,0.04,0.0,0.0,0.01
74,0.0,-0.0,0.11,0.11,0.0,0.0,0.03
75,0.0,0.0,0.01,0.01,0.0,0.0,0.01
76,0.0,0.01,0.1,0.1,0.0,0.0,0.05
77,0.0,0.0,0.05,0.05,0.0,0.0,0.01
78,0.0,0.0,0.04,0.04,0.0,0.0,0.02
79,0.0,0.0,0.04,0.04,0.0,0.0,0.02
80,0.0,0.01,0.06,0.06,0.0,0.0,0.03
81,0.0,-0.0,0.07,0.07,0.0,0.0,0.04
82,0.0,-0.0,0.11,0.11,0.0,0.0,0.04
83,0.0,0.0,0.07,0.07,0.0,0.0,0.03
84,0.0,-0.0,0.05,0.05,0.0,0.0,0.04
85,0.0,-0.0,0.05,0.05,0.0,0.0,0.04
86,0.0,0.01,0.07,0.07,0.0,0.0,0.02
87,0.0,-0.0,0.06,0.06,0.0,0.0,0.01
88,0.0,0.01,0.06,0.06,0.0,0.0,0.04
89,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
90,0.0,0.01,0.12,0.12,0.0,0.0,0.04
91,0.0,0.0,0.04,0.04,0.0,0.0,0.02
92,0.0,0.0,0.04,0.04,0.0,0.0,0.02
93,0.0,-0.0,0.03,0.03,0.0,0.0,0.03
94,0.0,0.0,0.03,0.03,0.0,0.0,0.0
95,0.0,0.0,0.1,0.1,0.0,0.0,0.04
96,0.0,0.0,0.03,0.04,0.0,0.0,0.01
97,0.0,0.0,0.05,0.05,0.0,0.0,0.03
98,0.0,0.01,0.11,0.11,0.0,0.0,0.04
99,0.0,0.01,0.13,0.13,0.0,0.0,0.02
100,0.0,0.0,0.09,0.09,0.0,0.0,0.03
101,0.0,0.0,0.08,0.08,0.0,0.0,0.02
102,0.0,0.0,0.04,0.04,0.0,0.0,0.02
103,0.0,-0.01,0.1,0.1,0.0,0.0,0.02
104,0.0,0.01,0.08,0.08,0.0,0.0,0.04
105,0.0,0.0,0.05,0.05,0.0,0.0,0.02
106,0.0,0.01,0.11,0.11,0.0,0.0,0.04
107,0.0,-0.01,0.07,0.07,0.0,0.0,0.04
108,0.0,0.0,0.04,0.04,0.0,0.0,0.02
109,0.0,-0.01,0.07,0.07,0.0,0.0,0.04
110,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
111,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
112,0.0,-0.0,0.06,0.06,0.0,0.0,0.02
113,0.0,0.0,0.03,0.03,0.0,0.0,0.01
114,0.0,0.01,0.05,0.06,0.0,0.0,0.02
115,0.0,-0.0,0.07,0.07,0.0,0.0,0.02
116,0.0,-0.01,0.05,0.05,0.0,0.0,0.03
117,0.0,-0.0,0.06,0.06,0.0,0.0,0.02
118,0.0,-0.0,0.06,0.06,0.0,0.0,0.03
119,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
120,0.0,-0.0,0.12,0.12,0.0,0.0,0.02
121,0.0,-0.01,0.07,0.07,0.0,0.0,0.04
122,0.0,-0.0,0.02,0.02,0.0,0.0,0.02
123,0.0,0.0,0.04,0.04,0.0,0.0,0.01
124,0.0,-0.01,0.07,0.07,0.0,0.0,0.02
125,0.0,-0.01,0.12,0.12,0.0,0.0,0.03
126,0.0,0.01,0.07,0.07,0.0,0.0,0.03
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.07,0.07,0.0,0.0,0.03
129,0.0,0.0,0.03,0.03,0.0,0.0,0.01
130,0.0,0.0,0.05,0.05,0.0,0.0,0.01
131,0.0,0.0,0.11,0.11,0.0,0.0,0.02
132,0.0,-0.01,0.04,0.05,0.0,0.0,0.02
133,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
134,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
135,0.0,-0.01,0.08,0.08,0.0,0.0,0.03
136,0.0,0.01,0.12,0.12,0.0,0.0,0.03
137,0.0,0.0,0.06,0.06,0.0,0.0,0.04
138,0.0,0.01,0.06,0.06,0.0,0.0,0.02
139,0.0,0.0,0.04,0.04,0.0,0.0,0.01
140,0.0,-0.0,0.05,0.05,0.0,0.0,0.03
141,0.0,-0.01,0.07,0.07,0.0,0.0,0.01
142,0.0,0.01,0.1,0.1,0.0,0.0,0.02
143,0.0,-0.0,0.05,0.05,0.0,0.0,0.03
144,0.0,0.0,0.07,0.07,0.0,0.0,0.03
145,0.0,0.01,0.08,0.08,0.0,0.0,0.02
146,0.0,-0.0,0.06,0.06,0.0,0.0,0.02
147,0.0,0.01,0.05,0.05,0.0,0.0,0.01
148,0.0,-0.0,0.06,0.06,0.0,0.0,0.02
149,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
150,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
151,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
152,0.0,0.0,0.07,0.07,0.0,0.0,0.04
153,0.0,0.0,0.05,0.05,0.0,0.0,0.03
