,0,1,2,3,4,5,6
0,0.1,0.01,0.01,0.1,0.24,1.0,0.0
1,0.31,0.25,0.05,0.08,0.43,1.0,0.06
2,0.97,0.87,0.09,0.13,0.42,0.86,1.0
3,-0.39,-0.31,0.08,0.12,0.42,1.0,0.3
4,-0.77,-0.7,0.09,0.1,0.4,0.95,1.0
5,0.24,0.26,0.05,0.06,0.4,1.0,0.12
6,0.96,0.96,0.08,0.08,0.41,1.0,1.0
7,0.62,0.47,0.12,0.19,0.42,0.72,0.92
8,0.03,0.01,0.02,0.03,0.21,1.0,0.0
9,-0.92,-0.9,0.08,0.09,0.41,0.98,1.0
10,-1.51,-1.22,0.04,0.3,0.42,0.02,1.0
11,0.03,-0.0,0.02,0.04,0.21,1.0,0.0
12,-1.1,-1.06,0.07,0.08,0.37,0.98,1.0
13,-1.16,-0.99,0.07,0.18,0.4,0.72,1.0
14,1.18,1.11,0.06,0.09,0.39,0.99,1.0
15,-0.0,0.01,0.02,0.02,0.27,1.0,0.0
16,0.24,0.03,0.02,0.21,0.31,0.1,0.0
17,0.6,0.6,0.11,0.11,0.39,0.93,1.0
18,-0.12,-0.03,0.04,0.1,0.23,0.56,0.02
19,0.58,0.38,0.1,0.22,0.42,0.48,0.76
