,0,1,2,3,4,5,6
0,0.1,0.08,0.05,0.06,-,-,0.04
1,0.31,0.25,0.1,0.12,-,-,0.83
2,0.97,1.02,0.14,0.15,-,-,1.0
3,-0.39,-0.42,0.11,0.11,-,-,0.84
4,-0.77,-0.87,0.11,0.15,-,-,1.0
5,0.24,0.24,0.08,0.08,-,-,0.82
6,0.96,1.04,0.11,0.14,-,-,1.0
7,0.62,0.57,0.12,0.13,-,-,1.0
8,0.03,0.06,0.11,0.12,-,-,0.04
9,-0.92,-0.98,0.12,0.13,-,-,1.0
10,-1.51,-1.64,0.15,0.2,-,-,1.0
11,0.03,0.02,0.15,0.15,-,-,0.03
12,-1.1,-1.2,0.12,0.16,-,-,1.0
13,-1.16,-1.21,0.14,0.15,-,-,1.0
14,1.18,1.32,0.14,0.2,-,-,1.0
15,-0.0,0.0,0.02,0.02,-,-,0.0
16,0.24,0.09,0.15,0.21,-,-,0.09
17,0.6,0.63,0.1,0.11,-,-,1.0
18,-0.12,-0.2,0.1,0.12,-,-,0.22
19,0.58,0.64,0.11,0.13,-,-,1.0
