,0,1,2,3,4,5,6
0,0.1,0.0,0.0,0.1,-,-,0.0
1,0.31,0.15,0.11,0.19,-,-,0.22
2,0.97,0.79,0.14,0.23,-,-,1.0
3,-0.39,-0.25,0.11,0.19,-,-,0.13
4,-0.77,-0.49,0.19,0.34,-,-,0.96
5,0.24,0.13,0.08,0.14,-,-,0.22
6,0.96,0.76,0.13,0.24,-,-,1.0
7,0.62,0.42,0.15,0.25,-,-,0.98
8,0.03,0.0,0.0,0.03,-,-,0.0
9,-0.92,-0.75,0.13,0.22,-,-,1.0
10,-1.51,-1.31,0.16,0.26,-,-,1.0
11,0.03,0.0,0.0,0.03,-,-,0.0
12,-1.1,-0.89,0.13,0.26,-,-,1.0
13,-1.16,-0.96,0.14,0.24,-,-,1.0
14,1.18,0.95,0.16,0.27,-,-,1.0
15,-0.0,0.0,0.0,0.0,-,-,0.0
16,0.24,0.0,0.01,0.24,-,-,0.01
17,0.6,0.41,0.14,0.24,-,-,0.99
18,-0.12,-0.0,0.01,0.12,-,-,0.0
19,0.58,0.29,0.16,0.33,-,-,0.52
