,0,1,2,3,4,5,6
0,0.1,0.0,0.0,0.1,-,-,0.01
1,0.31,0.06,0.05,0.26,-,-,0.51
2,0.97,0.49,0.09,0.49,-,-,1.0
3,-0.39,-0.06,0.04,0.33,-,-,0.2
4,-0.77,-0.23,0.09,0.54,-,-,0.98
5,0.24,0.05,0.03,0.2,-,-,0.5
6,0.96,0.48,0.07,0.48,-,-,1.0
7,0.62,0.25,0.08,0.38,-,-,1.0
8,0.03,-0.0,0.0,0.03,-,-,0.0
9,-0.92,-0.47,0.08,0.46,-,-,1.0
10,-1.51,-0.89,0.09,0.63,-,-,1.0
11,0.03,-0.0,0.0,0.03,-,-,0.01
12,-1.1,-0.56,0.08,0.55,-,-,1.0
13,-1.16,-0.62,0.09,0.55,-,-,1.0
14,1.18,0.6,0.1,0.58,-,-,1.0
15,-0.0,0.0,0.0,0.0,-,-,0.02
16,0.24,0.04,0.03,0.2,-,-,0.14
17,0.6,0.23,0.07,0.37,-,-,1.0
18,-0.12,-0.02,0.01,0.11,-,-,0.04
19,0.58,0.09,0.06,0.49,-,-,0.64
