,0,1,2,3,4,5,6
0,0.1,0.03,0.02,0.08,-,-,0.04
1,0.31,0.09,0.06,0.23,-,-,0.84
2,0.97,0.63,0.09,0.36,-,-,1.0
3,-0.39,-0.11,0.07,0.29,-,-,0.85
4,-0.77,-0.43,0.07,0.34,-,-,1.0
5,0.24,0.09,0.05,0.16,-,-,0.84
6,0.96,0.63,0.07,0.34,-,-,1.0
7,0.62,0.33,0.08,0.3,-,-,1.0
8,0.03,0.01,0.02,0.03,-,-,0.05
9,-0.92,-0.6,0.08,0.33,-,-,1.0
10,-1.51,-1.07,0.09,0.45,-,-,1.0
11,0.03,-0.0,0.03,0.04,-,-,0.03
12,-1.1,-0.74,0.08,0.37,-,-,1.0
13,-1.16,-0.77,0.09,0.4,-,-,1.0
14,1.18,0.8,0.09,0.39,-,-,1.0
15,-0.0,0.0,0.01,0.01,-,-,0.01
16,0.24,0.04,0.03,0.2,-,-,0.1
17,0.6,0.35,0.07,0.26,-,-,1.0
18,-0.12,-0.04,0.03,0.09,-,-,0.23
19,0.58,0.23,0.08,0.35,-,-,1.0
