,0,1,2,3,4,5,6
0,0.22,0.03,0.05,0.2,0.44,0.54,0.0
1,0.66,0.11,0.1,0.56,0.51,0.02,0.02
2,-0.58,-0.1,0.06,0.49,0.5,0.0,0.0
3,0.41,0.06,0.05,0.35,0.45,0.06,0.0
4,0.47,0.08,0.06,0.39,0.47,0.1,0.0
5,-1.97,-0.78,0.25,1.22,1.05,0.0,0.78
6,0.28,0.04,0.04,0.24,0.44,0.3,0.0
7,-1.58,-0.66,0.17,0.93,1.01,0.04,0.56
8,1.57,0.84,0.2,0.76,0.95,0.13,0.92
9,-0.72,-0.11,0.07,0.62,0.52,0.02,0.0
10,0.31,0.26,0.06,0.07,0.4,1.0,0.44
11,1.16,0.96,0.13,0.24,0.45,0.58,1.0
12,-1.05,-0.85,0.1,0.23,0.44,0.62,1.0
13,-0.98,-0.79,0.11,0.21,0.44,0.62,1.0
14,-0.64,-0.47,0.09,0.19,0.43,0.74,1.0
15,1.7,1.5,0.11,0.22,0.5,0.72,1.0
16,-1.29,-1.09,0.09,0.22,0.46,0.68,1.0
17,-0.19,-0.23,0.03,0.05,0.39,1.0,0.12
18,-0.07,-0.04,0.05,0.06,0.29,0.98,0.0
19,-0.16,-0.09,0.06,0.09,0.31,0.92,0.08
