,0,1,2,3,4,5,6
0,0.22,0.07,0.15,0.22,0.82,1.0,0.0
1,0.66,0.8,0.18,0.23,1.22,1.0,0.14
2,-0.58,-0.34,0.19,0.31,1.01,0.84,0.08
3,0.41,0.14,0.17,0.31,0.84,0.76,0.04
4,0.47,0.21,0.19,0.32,0.88,0.74,0.08
5,-1.97,-1.77,0.49,0.54,1.62,0.88,1.0
6,0.28,0.1,0.12,0.22,0.83,0.98,0.0
7,-1.58,-1.43,0.44,0.47,1.52,0.85,0.96
8,1.57,1.66,0.37,0.39,1.32,0.92,1.0
9,-0.72,-0.4,0.23,0.4,1.06,0.68,0.08
10,0.31,0.42,0.1,0.16,0.56,0.97,0.72
11,1.16,1.58,0.21,0.47,0.64,0.34,1.0
12,-1.05,-1.4,0.17,0.39,0.62,0.32,1.0
13,-0.98,-1.33,0.17,0.39,0.62,0.42,1.0
14,-0.64,-0.82,0.13,0.22,0.58,0.8,1.0
15,1.7,2.41,0.2,0.74,0.74,0.04,1.0
16,-1.29,-1.78,0.15,0.51,0.66,0.12,1.0
17,-0.19,-0.34,0.08,0.17,0.54,0.94,0.36
18,-0.07,-0.07,0.08,0.08,0.43,1.0,0.02
19,-0.16,-0.34,0.07,0.19,0.53,0.93,0.28
