,0,1,2,3,4,5,6
0,0.22,-0.0,0.0,0.22,0.02,0.0,0.0
1,0.66,0.74,0.15,0.17,1.05,1.0,0.14
2,-0.58,-0.78,0.1,0.22,1.21,1.0,0.12
3,0.41,0.03,0.11,0.39,0.11,0.08,0.0
4,0.47,0.09,0.21,0.43,0.19,0.16,0.1
5,-1.97,-1.73,0.3,0.39,1.26,0.84,1.0
6,0.28,0.0,0.04,0.27,0.04,0.02,0.0
7,-1.58,-1.35,0.29,0.36,1.21,0.92,0.98
8,1.57,1.4,0.22,0.27,0.85,0.88,1.0
9,-0.72,-0.78,0.14,0.15,1.19,1.0,0.18
10,0.31,0.31,0.07,0.07,0.44,0.93,0.3
11,1.16,1.05,0.11,0.16,0.4,0.86,1.0
12,-1.05,-0.95,0.09,0.14,0.4,0.82,1.0
13,-0.98,-0.89,0.1,0.13,0.4,0.9,1.0
14,-0.64,-0.56,0.09,0.12,0.4,0.94,1.0
15,1.7,1.58,0.12,0.16,0.44,0.82,1.0
16,-1.29,-1.19,0.08,0.12,0.41,0.9,1.0
17,-0.19,-0.04,0.07,0.17,0.1,0.2,0.06
18,-0.07,-0.0,0.02,0.07,0.03,0.02,0.0
19,-0.16,-0.02,0.05,0.15,0.06,0.1,0.04
