,0,1,2,3,4,5,6
0,0.22,-0.0,0.0,0.22,0.06,0.0,0.0
1,0.66,0.06,0.19,0.63,0.15,0.1,0.04
2,-0.58,-0.04,0.14,0.56,0.15,0.08,0.0
3,0.41,0.0,0.0,0.41,0.06,0.0,0.0
4,0.47,0.03,0.13,0.46,0.1,0.04,0.02
5,-1.97,-1.6,0.31,0.49,1.29,0.74,1.0
6,0.28,0.0,0.0,0.27,0.06,0.0,0.0
7,-1.58,-1.25,0.31,0.45,1.28,0.86,0.86
8,1.57,1.31,0.22,0.34,0.89,0.82,1.0
9,-0.72,-0.08,0.2,0.67,0.24,0.16,0.06
10,0.31,0.3,0.08,0.08,0.46,1.0,0.14
11,1.16,1.01,0.11,0.19,0.42,0.72,1.0
12,-1.05,-0.9,0.09,0.18,0.41,0.74,1.0
13,-0.98,-0.85,0.09,0.16,0.41,0.82,1.0
14,-0.64,-0.53,0.09,0.14,0.41,0.88,0.98
15,1.7,1.52,0.11,0.21,0.47,0.64,1.0
16,-1.29,-1.13,0.08,0.17,0.43,0.76,1.0
17,-0.19,-0.01,0.02,0.18,0.07,0.04,0.0
18,-0.07,-0.0,0.02,0.07,0.06,0.02,0.0
19,-0.16,-0.0,0.01,0.16,0.06,0.0,0.0
