,0,1,2,3,4,5,6
0,-0.71,-0.04,0.17,0.69,0.07,0.05,0.05
1,1.31,1.19,0.17,0.2,0.61,0.91,1.0
2,1.37,1.27,0.15,0.18,0.61,0.92,0.99
3,0.91,0.86,0.17,0.17,0.63,0.94,0.65
4,0.4,0.02,0.11,0.39,0.06,0.05,0.03
5,-0.19,-0.0,0.0,0.19,0.02,0.0,0.0
6,0.99,0.9,0.19,0.2,0.63,0.92,0.72
7,1.1,0.99,0.19,0.22,0.62,0.88,0.92
8,-1.36,-1.3,0.23,0.23,0.99,0.94,0.71
9,-1.16,-1.09,0.23,0.24,0.95,0.94,0.62
10,-0.83,-0.84,0.17,0.17,0.31,0.85,1.0
11,0.1,0.01,0.03,0.1,0.05,0.16,0.0
12,0.26,0.26,0.05,0.05,0.33,1.0,0.44
13,0.82,0.83,0.17,0.17,0.31,0.82,1.0
14,-0.53,-0.52,0.11,0.11,0.31,0.9,1.0
15,-0.4,-0.38,0.11,0.11,0.32,0.9,0.99
16,0.5,0.49,0.12,0.12,0.31,0.85,1.0
17,-0.35,-0.33,0.1,0.1,0.32,0.96,0.85
18,-0.09,-0.01,0.02,0.09,0.04,0.1,0.0
19,-0.05,0.0,0.01,0.05,0.03,0.1,0.0
