,0,1,2,3,4,5,6
0,-0.71,-0.78,0.16,0.17,0.76,0.97,0.29
1,1.31,1.25,0.14,0.15,0.51,0.92,1.0
2,1.37,1.33,0.14,0.15,0.5,0.92,1.0
3,0.91,0.85,0.15,0.16,0.54,0.92,0.92
4,0.4,0.53,0.06,0.14,0.56,1.0,0.06
5,-0.19,-0.0,0.04,0.19,0.02,0.0,0.0
6,0.99,0.95,0.14,0.14,0.53,0.94,0.98
7,1.1,1.06,0.15,0.16,0.52,0.92,1.0
8,-1.36,-1.3,0.24,0.24,0.83,0.92,0.95
9,-1.16,-1.1,0.2,0.21,0.79,0.93,0.87
10,-0.83,-0.82,0.08,0.08,0.25,0.94,1.0
11,0.1,0.19,0.04,0.1,0.26,0.85,0.06
12,0.26,0.26,0.07,0.07,0.27,0.97,0.7
13,0.82,0.82,0.09,0.09,0.25,0.92,1.0
14,-0.53,-0.51,0.08,0.08,0.25,0.94,1.0
15,-0.4,-0.38,0.08,0.08,0.25,0.9,1.0
16,0.5,0.49,0.08,0.08,0.25,0.94,1.0
17,-0.35,-0.33,0.07,0.08,0.26,0.94,0.96
18,-0.09,-0.22,0.07,0.14,0.28,0.67,0.04
19,-0.05,-0.0,0.01,0.05,0.02,0.05,0.0
