,0,1,2,3,4,5,6
0,-0.71,-0.42,0.24,0.38,-,-,0.57
1,1.31,1.12,0.15,0.24,-,-,1.0
2,1.37,1.18,0.14,0.23,-,-,1.0
3,0.91,0.68,0.18,0.29,-,-,0.98
4,0.4,0.34,0.16,0.17,-,-,0.14
5,-0.19,-0.0,0.04,0.19,-,-,0.02
6,0.99,0.81,0.17,0.24,-,-,1.0
7,1.1,0.92,0.18,0.26,-,-,1.0
8,-1.36,-1.1,0.3,0.39,-,-,1.0
9,-1.16,-0.85,0.28,0.42,-,-,1.0
10,-0.83,-0.72,0.08,0.13,-,-,1.0
11,0.1,0.0,0.01,0.1,-,-,0.01
12,0.26,0.13,0.08,0.15,-,-,0.43
13,0.82,0.71,0.08,0.13,-,-,1.0
14,-0.53,-0.4,0.09,0.16,-,-,1.0
15,-0.4,-0.24,0.11,0.19,-,-,0.94
16,0.5,0.36,0.1,0.17,-,-,1.0
17,-0.35,-0.2,0.1,0.18,-,-,0.82
18,-0.09,0.0,0.0,0.09,-,-,0.0
19,-0.05,0.0,0.0,0.05,-,-,0.0
