,0,1,2,3,4,5,6
0,-0.71,-0.58,0.22,0.26,-,-,0.72
1,1.31,1.23,0.13,0.16,-,-,1.0
2,1.37,1.29,0.11,0.14,-,-,1.0
3,0.91,0.81,0.14,0.17,-,-,1.0
4,0.4,0.41,0.16,0.16,-,-,0.23
5,-0.19,-0.29,0.14,0.18,-,-,0.03
6,0.99,0.93,0.14,0.15,-,-,1.0
7,1.1,1.04,0.14,0.15,-,-,1.0
8,-1.36,-1.29,0.24,0.25,-,-,1.0
9,-1.16,-1.07,0.2,0.22,-,-,1.0
10,-0.83,-0.79,0.06,0.07,-,-,1.0
11,0.1,0.12,0.06,0.06,-,-,0.04
12,0.26,0.2,0.09,0.11,-,-,0.68
13,0.82,0.79,0.07,0.07,-,-,1.0
14,-0.53,-0.48,0.07,0.08,-,-,1.0
15,-0.4,-0.35,0.07,0.09,-,-,0.99
16,0.5,0.45,0.06,0.08,-,-,1.0
17,-0.35,-0.29,0.08,0.1,-,-,0.96
18,-0.09,-0.0,0.01,0.09,-,-,0.0
19,-0.05,0.0,0.0,0.05,-,-,0.0
