,0,1,2,3,4,5,6
0,-0.71,-0.09,0.08,0.63,-,-,0.32
1,1.31,0.61,0.14,0.71,-,-,1.0
2,1.37,0.67,0.14,0.72,-,-,1.0
3,0.91,0.25,0.13,0.67,-,-,0.92
4,0.4,0.09,0.06,0.31,-,-,0.07
5,-0.19,-0.0,0.0,0.19,-,-,0.0
6,0.99,0.34,0.14,0.66,-,-,0.98
7,1.1,0.43,0.15,0.69,-,-,1.0
8,-1.36,-0.33,0.13,1.04,-,-,0.98
9,-1.16,-0.22,0.12,0.96,-,-,0.98
10,-0.83,-0.44,0.06,0.39,-,-,1.0
11,0.1,0.0,0.0,0.1,-,-,0.01
12,0.26,0.05,0.03,0.22,-,-,0.4
13,0.82,0.44,0.06,0.38,-,-,1.0
14,-0.53,-0.2,0.06,0.33,-,-,1.0
15,-0.4,-0.1,0.05,0.31,-,-,0.96
16,0.5,0.17,0.06,0.33,-,-,1.0
17,-0.35,-0.08,0.04,0.28,-,-,0.82
18,-0.09,0.0,0.0,0.09,-,-,0.0
19,-0.05,0.0,0.0,0.05,-,-,0.0
