,0,1,2,3,4,5,6
0,-0.71,-0.15,0.1,0.58,-,-,0.78
1,1.31,0.76,0.13,0.56,-,-,1.0
2,1.37,0.83,0.13,0.56,-,-,1.0
3,0.91,0.38,0.13,0.54,-,-,1.0
4,0.4,0.1,0.08,0.31,-,-,0.3
5,-0.19,-0.05,0.05,0.14,-,-,0.06
6,0.99,0.49,0.14,0.51,-,-,1.0
7,1.1,0.58,0.14,0.54,-,-,1.0
8,-1.36,-0.52,0.15,0.85,-,-,1.0
9,-1.16,-0.4,0.12,0.78,-,-,1.0
10,-0.83,-0.53,0.06,0.31,-,-,1.0
11,0.1,0.04,0.02,0.07,-,-,0.06
12,0.26,0.07,0.04,0.19,-,-,0.78
13,0.82,0.52,0.06,0.3,-,-,1.0
14,-0.53,-0.27,0.06,0.26,-,-,1.0
15,-0.4,-0.16,0.05,0.24,-,-,0.99
16,0.5,0.25,0.06,0.26,-,-,1.0
17,-0.35,-0.13,0.05,0.23,-,-,0.98
18,-0.09,-0.01,0.01,0.08,-,-,0.04
19,-0.05,-0.0,0.0,0.05,-,-,0.0
