,0,1,2,3,4,5,6
0,-0.71,-0.13,0.08,0.59,-,-,0.68
1,1.31,0.68,0.13,0.64,-,-,1.0
2,1.37,0.74,0.12,0.64,-,-,1.0
3,0.91,0.31,0.14,0.61,-,-,0.98
4,0.4,0.06,0.05,0.34,-,-,0.13
5,-0.19,-0.0,0.01,0.19,-,-,0.0
6,0.99,0.41,0.12,0.59,-,-,1.0
7,1.1,0.52,0.13,0.6,-,-,1.0
8,-1.36,-0.43,0.12,0.93,-,-,1.0
9,-1.16,-0.31,0.12,0.86,-,-,0.99
10,-0.83,-0.48,0.05,0.35,-,-,1.0
11,0.1,0.0,0.0,0.1,-,-,0.02
12,0.26,0.05,0.04,0.21,-,-,0.66
13,0.82,0.48,0.05,0.34,-,-,1.0
14,-0.53,-0.24,0.05,0.29,-,-,1.0
15,-0.4,-0.13,0.05,0.27,-,-,1.0
16,0.5,0.22,0.05,0.29,-,-,1.0
17,-0.35,-0.1,0.05,0.26,-,-,0.97
18,-0.09,-0.01,0.01,0.08,-,-,0.03
19,-0.05,-0.0,0.0,0.05,-,-,0.01
