,0,1,2,3,4,5,6
0,-0.71,-0.06,0.06,0.65,-,-,0.2
1,1.31,0.54,0.15,0.78,-,-,1.0
2,1.37,0.6,0.15,0.79,-,-,1.0
3,0.91,0.22,0.13,0.7,-,-,0.77
4,0.4,0.0,0.03,0.4,-,-,0.05
5,-0.19,0.0,0.0,0.19,-,-,0.0
6,0.99,0.24,0.14,0.76,-,-,0.91
7,1.1,0.35,0.16,0.78,-,-,0.99
8,-1.36,-0.24,0.13,1.12,-,-,0.96
9,-1.16,-0.17,0.1,1.0,-,-,0.82
10,-0.83,-0.4,0.07,0.43,-,-,1.0
11,0.1,0.0,0.0,0.1,-,-,0.01
12,0.26,0.03,0.02,0.23,-,-,0.22
13,0.82,0.4,0.06,0.42,-,-,1.0
14,-0.53,-0.17,0.05,0.36,-,-,1.0
15,-0.4,-0.08,0.04,0.32,-,-,0.89
16,0.5,0.15,0.05,0.35,-,-,0.98
17,-0.35,-0.06,0.05,0.29,-,-,0.62
18,-0.09,0.0,0.0,0.09,-,-,0.0
19,-0.05,0.0,0.0,0.05,-,-,0.0
