,0,1,2,3,4
0,"I(N): 5000(41267), P: 10, C: 0.5",0.05,0.04,0.03,0.02
1,"I(N): 5000(39895), P: 10, C: 0.75",0.06,0.05,0.04,0.03
2,"I(N): 5000(38961), P: 10, C: 0.95",0.07,0.07,0.06,0.05
3,"I(N): 5000(39181), P: 10, C: 0.99",0.07,0.07,0.07,0.07
4,"I(N): 10000(82470), P: 10, C: 0.5",0.05,0.04,0.03,0.02
5,"I(N): 10000(80139), P: 10, C: 0.75",0.05,0.05,0.04,0.03
6,"I(N): 10000(77624), P: 10, C: 0.95",0.07,0.07,0.06,0.05
7,"I(N): 10000(77930), P: 10, C: 0.99",0.07,0.07,0.07,0.06
8,"I(N): 5000(41965), P: 20, C: 0.5",0.09,0.07,0.05,0.04
9,"I(N): 5000(40103), P: 20, C: 0.75",0.1,0.08,0.06,0.04
10,"I(N): 5000(38850), P: 20, C: 0.95",0.12,0.11,0.09,0.07
11,"I(N): 5000(38971), P: 20, C: 0.99",0.12,0.12,0.11,0.1
12,"I(N): 10000(84355), P: 20, C: 0.5",0.09,0.07,0.05,0.04
13,"I(N): 10000(81082), P: 20, C: 0.75",0.09,0.08,0.06,0.04
14,"I(N): 10000(78661), P: 20, C: 0.95",0.11,0.11,0.09,0.07
15,"I(N): 10000(77373), P: 20, C: 0.99",0.12,0.12,0.12,0.11
