,Simulation settings,,,,MPE (MAPE),,,
,N,I,P,C,B - 64,B - 128,B - 256,B - 512
0,41267,5000,10,0.5,0.02 (0.05),0.01 (0.04),0.0 (0.03),0.0 (0.02)
1,39895,5000,10,0.75,0.01 (0.06),0.0 (0.05),0.0 (0.04),-0.0 (0.03)
2,38961,5000,10,0.95,0.02 (0.07),0.01 (0.07),-0.0 (0.06),0.0 (0.05)
3,39181,5000,10,0.99,0.01 (0.07),0.0 (0.07),-0.0 (0.07),0.0 (0.07)
4,82470,10000,10,0.5,0.01 (0.05),0.0 (0.04),0.0 (0.03),-0.0 (0.02)
5,80139,10000,10,0.75,0.01 (0.05),0.0 (0.05),0.0 (0.04),0.0 (0.03)
6,77624,10000,10,0.95,0.01 (0.07),0.0 (0.07),0.0 (0.06),-0.0 (0.05)
7,77930,10000,10,0.99,0.01 (0.07),0.0 (0.07),-0.0 (0.07),-0.0 (0.06)
8,41965,5000,20,0.5,-0.06 (0.09),-0.05 (0.07),-0.03 (0.05),-0.02 (0.04)
9,40103,5000,20,0.75,-0.06 (0.1),-0.04 (0.08),-0.03 (0.06),-0.02 (0.04)
10,38850,5000,20,0.95,-0.06 (0.12),-0.05 (0.11),-0.03 (0.09),-0.02 (0.07)
11,38971,5000,20,0.99,-0.07 (0.12),-0.04 (0.12),-0.03 (0.11),-0.03 (0.1)
12,84355,10000,20,0.5,-0.06 (0.09),-0.05 (0.07),-0.03 (0.05),-0.03 (0.04)
13,81082,10000,20,0.75,-0.05 (0.09),-0.04 (0.08),-0.03 (0.06),-0.02 (0.04)
14,78661,10000,20,0.95,-0.06 (0.11),-0.05 (0.11),-0.02 (0.09),-0.02 (0.07)
15,77373,10000,20,0.99,-0.06 (0.12),-0.03 (0.12),-0.03 (0.12),-0.02 (0.11)
