,,,,ProbCox - Batch size: 256,,,,,,Cox,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{CI}_{95\%}$ , $Coverage_{95\%}$
-0.9,,-0.89,0.22,0.22,0.98,0.94,,-0.92,0.23,0.23,0.91,0.94
0.2,,0.18,0.17,0.17,0.74,0.98,,0.2,0.16,0.16,0.64,0.97
0,,-0.04,0.18,0.18,0.78,0.96,,-0.02,0.18,0.18,0.68,0.94
-0.4,,-0.39,0.07,0.07,0.32,0.96,,-0.39,0.06,0.07,0.27,0.96
1.1,,1.09,0.08,0.08,0.34,0.96,,1.1,0.07,0.07,0.28,0.96
0,,0.01,0.07,0.07,0.31,0.98,,0.01,0.07,0.07,0.27,0.94
,,,,,,,,,,,,
0.8,,0.74,0.2,0.21,0.85,0.96,,0.79,0.19,0.19,0.72,0.93
-0.5,,-0.52,0.25,0.25,1.11,0.96,,-0.49,0.24,0.24,1.01,0.98
0,,-0.05,0.23,0.23,0.99,0.96,,-0.01,0.23,0.23,0.87,0.94
-0.7,,-0.69,0.11,0.11,0.41,0.92,,-0.69,0.1,0.1,0.35,0.9
1,,0.99,0.09,0.09,0.43,0.96,,0.99,0.08,0.08,0.35,0.97
0,,0,0.09,0.09,0.4,0.94,,0,0.09,0.09,0.34,0.97
