,,,,Lasso - $\lambda_{min}$,,,,,,,Lasso - $\lambda_{1se}$,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
-0.5,,-0.48,1.07,1.07,-,-,0.36,,-0.31,0.43,0.46,-,-,0.12
0.7,,0.58,1.29,1.3,-,-,0.62,,0.33,0.71,0.8,-,-,0.3
1.2,,0.9,2.02,2.04,-,-,0.98,,0.38,0.63,1.04,-,-,0.82
0.65,,0.69,1.53,1.53,-,-,0.5,,0.38,0.75,0.8,-,-,0.24
-0.9,,-0.68,1.59,1.6,-,-,0.82,,-0.31,0.64,0.88,-,-,0.58
1.4,,1.09,2.27,2.29,-,-,1,,0.45,0.77,1.23,-,-,0.97
0.2,,0.51,0.7,0.76,-,-,0.11,,0.26,0.37,0.37,-,-,0.04
-0.4,,-0.69,1.31,1.34,-,-,0.3,,-0.38,0.64,0.64,-,-,0.12
-1.3,,-0.96,2.05,2.08,-,-,1,,-0.38,0.65,1.12,-,-,0.94
0.1,,-0.28,1.79,1.83,-,-,0.04,,-0.01,0.1,0.15,-,-,0.02
,,,,,,,,,,,,,,
,,,,Adaptive Lasso - $\lambda_{min}^{w=\lambda_{min}}$,,,,,,,Adaptive Lasso - $\lambda_{1se}^{w=\lambda_{min}}$,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
-0.5,,-0.55,0.28,0.29,-,-,0.31,,-0.46,0.29,0.29,-,-,0.26
0.7,,0.71,0.24,0.24,-,-,0.61,,0.54,0.28,0.32,-,-,0.57
1.2,,1.13,0.42,0.42,-,-,0.98,,0.92,0.42,0.5,-,-,0.96
0.65,,0.69,0.34,0.34,-,-,0.48,,0.56,0.32,0.33,-,-,0.43
-0.9,,-0.87,0.34,0.34,-,-,0.82,,-0.68,0.34,0.41,-,-,0.77
1.4,,1.31,0.41,0.42,-,-,1,,1.09,0.41,0.51,-,-,1
0.2,,0.34,0.24,0.27,-,-,0.08,,0.27,0.25,0.26,-,-,0.07
-0.4,,-0.58,0.28,0.34,-,-,0.28,,-0.5,0.27,0.29,-,-,0.22
-1.3,,-1.2,0.38,0.39,-,-,1,,-1,0.37,0.48,-,-,0.98
0.1,,0,0.1,0.14,-,-,0.02,,0,0.07,0.13,-,-,0.02
,,,,,,,,,,,,,,
,,,,Adaptive Lasso - $\lambda_{min}^{w=\lambda_{1se}}$,,,,,,,Adaptive Lasso - $\lambda_{1se}^{w=\lambda_{1se}}$,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
-0.5,,-0.67,0.26,0.32,-,-,0.1,,-0.53,0.25,0.25,-,-,0.09
0.7,,0.73,0.28,0.28,-,-,0.3,,0.53,0.3,0.35,-,-,0.26
1.2,,1.02,0.32,0.37,-,-,0.82,,0.73,0.37,0.59,-,-,0.82
0.65,,0.72,0.38,0.38,-,-,0.24,,0.58,0.35,0.36,-,-,0.2
-0.9,,-0.84,0.35,0.36,-,-,0.56,,-0.58,0.35,0.47,-,-,0.52
1.4,,1.1,0.39,0.49,-,-,0.97,,0.83,0.41,0.7,-,-,0.96
0.2,,0.32,0.28,0.3,-,-,0.03,,0.01,0.06,0.2,-,-,0.02
-0.4,,-0.59,0.3,0.36,-,-,0.12,,-0.45,0.28,0.28,-,-,0.1
-1.3,,-1.04,0.34,0.43,-,-,0.94,,-0.75,0.38,0.67,-,-,0.92
0.1,,0,0.09,0.14,-,-,0.01,,0,0.06,0.12,-,-,0.01
