,,,,Lasso - $\lambda_{min}$,,,,,,,Lasso - $\lambda_{1se}$,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
0.1,,0.03,0.02,0.08,-,-,0.04,,0,0,0.1,-,-,0.01
0.31,,0.09,0.06,0.23,-,-,0.84,,0.06,0.05,0.26,-,-,0.51
0.97,,0.63,0.09,0.36,-,-,1,,0.49,0.09,0.49,-,-,1
-0.39,,-0.11,0.07,0.29,-,-,0.85,,-0.06,0.04,0.33,-,-,0.2
-0.77,,-0.43,0.07,0.34,-,-,1,,-0.23,0.09,0.54,-,-,0.98
0.24,,0.09,0.05,0.16,-,-,0.84,,0.05,0.03,0.2,-,-,0.5
0.96,,0.63,0.07,0.34,-,-,1,,0.48,0.07,0.48,-,-,1
0.62,,0.33,0.08,0.3,-,-,1,,0.25,0.08,0.38,-,-,1
0.03,,0.01,0.02,0.03,-,-,0.05,,0,0,0.03,-,-,0
-0.92,,-0.6,0.08,0.33,-,-,1,,-0.47,0.08,0.46,-,-,1
-1.51,,-1.07,0.09,0.45,-,-,1,,-0.89,0.09,0.63,-,-,1
0.03,,0,0.03,0.04,-,-,0.03,,0,0,0.03,-,-,0.01
-1.1,,-0.74,0.08,0.37,-,-,1,,-0.56,0.08,0.55,-,-,1
-1.16,,-0.77,0.09,0.4,-,-,1,,-0.62,0.09,0.55,-,-,1
1.18,,0.8,0.09,0.39,-,-,1,,0.6,0.1,0.58,-,-,1
0,,0,0.01,0.01,-,-,0.01,,0,0,0,-,-,0.02
0.24,,0.04,0.03,0.2,-,-,0.1,,0.04,0.03,0.2,-,-,0.14
0.6,,0.35,0.07,0.26,-,-,1,,0.23,0.07,0.37,-,-,1
-0.12,,-0.04,0.03,0.09,-,-,0.23,,-0.02,0.01,0.11,-,-,0.04
0.58,,0.23,0.08,0.35,-,-,1,,0.09,0.06,0.49,-,-,0.64
,,,,,,,,,,,,,,
,,,,Adaptive Lasso - $\lambda_{min}^{w=\lambda_{min}}$,,,,,,,Adaptive Lasso - $\lambda_{1se}^{w=\lambda_{min}}$,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
0.1,,0.08,0.05,0.06,-,-,0.04,,0,0.01,0.1,-,-,0.02
0.31,,0.25,0.1,0.12,-,-,0.83,,0.23,0.1,0.13,-,-,0.65
0.97,,1.02,0.14,0.15,-,-,1,,0.96,0.13,0.13,-,-,1
-0.39,,-0.42,0.11,0.11,-,-,0.84,,-0.32,0.13,0.15,-,-,0.74
-0.77,,-0.87,0.11,0.15,-,-,1,,-0.72,0.14,0.14,-,-,1
0.24,,0.24,0.08,0.08,-,-,0.82,,0.2,0.09,0.1,-,-,0.7
0.96,,1.04,0.11,0.14,-,-,1,,0.94,0.13,0.13,-,-,1
0.62,,0.57,0.12,0.13,-,-,1,,0.55,0.12,0.13,-,-,1
0.03,,0.06,0.11,0.12,-,-,0.04,,0,0.01,0.03,-,-,0.02
-0.92,,-0.98,0.12,0.13,-,-,1,,-0.89,0.12,0.12,-,-,1
-1.51,,-1.64,0.15,0.2,-,-,1,,-1.52,0.15,0.15,-,-,1
0.03,,0.02,0.15,0.15,-,-,0.03,,0,0.01,0.03,-,-,0.02
-1.1,,-1.2,0.12,0.16,-,-,1,,-1.08,0.13,0.13,-,-,1
-1.16,,-1.21,0.14,0.15,-,-,1,,-1.13,0.14,0.14,-,-,1
1.18,,1.32,0.14,0.2,-,-,1,,1.16,0.16,0.16,-,-,1
0,,0,0.02,0.02,-,-,0,,0,0.02,0.02,-,-,0
0.24,,0.09,0.15,0.21,-,-,0.09,,0,0.03,0.23,-,-,0.02
0.6,,0.63,0.1,0.11,-,-,1,,0.56,0.11,0.12,-,-,1
-0.12,,-0.2,0.1,0.12,-,-,0.22,,-0.17,0.09,0.1,-,-,0.12
0.58,,0.64,0.11,0.13,-,-,1,,0.49,0.16,0.19,-,-,1
