,,,,Bayesian Lasso - $\lambda = 0.1$,,,,,,,Bayesian Lasso - $\lambda = 0.25$,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
0.22,,0.03,0.05,0.2,0.44,0.54,0,,0.07,0.15,0.22,0.82,1,0
0.66,,0.11,0.1,0.56,0.51,0.02,0.02,,0.8,0.18,0.23,1.22,1,0.14
-0.58,,-0.1,0.06,0.49,0.5,0,0,,-0.34,0.19,0.31,1.01,0.84,0.08
0.41,,0.06,0.05,0.35,0.45,0.06,0,,0.14,0.17,0.31,0.84,0.76,0.04
0.47,,0.08,0.06,0.39,0.47,0.1,0,,0.21,0.19,0.32,0.88,0.74,0.08
-1.97,,-0.78,0.25,1.22,1.05,0,0.78,,-1.77,0.49,0.54,1.62,0.88,1
0.28,,0.04,0.04,0.24,0.44,0.3,0,,0.1,0.12,0.22,0.83,0.98,0
-1.58,,-0.66,0.17,0.93,1.01,0.04,0.56,,-1.43,0.44,0.47,1.52,0.85,0.96
1.57,,0.84,0.2,0.76,0.95,0.13,0.92,,1.66,0.37,0.39,1.32,0.92,1
-0.72,,-0.11,0.07,0.62,0.52,0.02,0,,-0.4,0.23,0.4,1.06,0.68,0.08
0.31,,0.26,0.06,0.07,0.4,1,0.44,,0.42,0.1,0.16,0.56,0.97,0.72
1.16,,0.96,0.13,0.24,0.45,0.58,1,,1.58,0.21,0.47,0.64,0.34,1
-1.05,,-0.85,0.1,0.23,0.44,0.62,1,,-1.4,0.17,0.39,0.62,0.32,1
-0.98,,-0.79,0.11,0.21,0.44,0.62,1,,-1.33,0.17,0.39,0.62,0.42,1
-0.64,,-0.47,0.09,0.19,0.43,0.74,1,,-0.82,0.13,0.22,0.58,0.8,1
1.7,,1.5,0.11,0.22,0.5,0.72,1,,2.41,0.2,0.74,0.74,0.04,1
-1.29,,-1.09,0.09,0.22,0.46,0.68,1,,-1.78,0.15,0.51,0.66,0.12,1
-0.19,,-0.23,0.03,0.05,0.39,1,0.12,,-0.34,0.08,0.17,0.54,0.94,0.36
-0.07,,-0.04,0.05,0.06,0.29,0.98,0,,-0.07,0.08,0.08,0.43,1,0.02
-0.16,,-0.09,0.06,0.09,0.31,0.92,0.08,,-0.34,0.07,0.19,0.53,0.93,0.28
,,,,,,,,,,,,,,
,,,,Bayesian Lasso - $\lambda = 0.5$,,,,,,,"StudentT - $df=1, \sigma=0.001$",,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
0.22,,0.12,0.29,0.31,1.2,0.98,0.04,,0,0,0.22,0.02,0,0
0.66,,1.17,0.33,0.6,1.6,0.86,0.28,,0.74,0.15,0.17,1.05,1,0.14
-0.58,,-1.12,0.22,0.58,1.73,0.95,0.44,,-0.78,0.1,0.22,1.21,1,0.12
0.41,,0.25,0.34,0.38,1.22,0.9,0.06,,0.03,0.11,0.39,0.11,0.08,0
0.47,,1.01,0.27,0.61,1.53,0.8,0.2,,0.09,0.21,0.43,0.19,0.16,0.1
-1.97,,-3.11,0.78,1.38,2.11,0.5,1,,-1.73,0.3,0.39,1.26,0.84,1
0.28,,0.17,0.24,0.26,1.19,1,0.02,,0,0.04,0.27,0.04,0.02,0
-1.58,,-2.52,0.8,1.24,2,0.56,1,,-1.35,0.29,0.36,1.21,0.92,0.98
1.57,,2.7,0.64,1.3,1.62,0.3,1,,1.4,0.22,0.27,0.85,0.88,1
-0.72,,-1.26,0.38,0.66,1.74,0.91,0.44,,-0.78,0.14,0.15,1.19,1,0.18
0.31,,0.64,0.19,0.39,0.7,0.52,0.84,,0.31,0.07,0.07,0.44,0.93,0.3
1.16,,2.43,0.37,1.32,0.83,0.02,1,,1.05,0.11,0.16,0.4,0.86,1
-1.05,,-2.16,0.31,1.15,0.81,0,1,,-0.95,0.09,0.14,0.4,0.82,1
-0.98,,-2.03,0.28,1.09,0.81,0.04,1,,-0.89,0.1,0.13,0.4,0.9,1
-0.64,,-1.28,0.19,0.67,0.74,0.1,1,,-0.56,0.09,0.12,0.4,0.94,1
