,,,,ProbCox - Rank: 50 \& Batch size 512,,,,,,,ProbCox - Rank: 5 \& Batch size 512,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
-0.71,,-0.87,0.16,0.22,0.81,1,0.1,,-0.87,0.15,0.22,0.81,1,0.07
1.31,,1.2,0.19,0.22,0.57,0.84,1,,1.22,0.15,0.17,0.56,0.9,1
1.37,,1.27,0.17,0.19,0.57,0.86,1,,1.29,0.13,0.16,0.56,0.94,1
0.91,,0.82,0.15,0.18,0.6,0.93,0.78,,0.84,0.13,0.14,0.59,0.97,0.74
0.4,,0.58,0.13,0.22,0.64,0.86,0.04,,0.55,0.11,0.19,0.63,0.92,0.06
-0.19,,0,0,0.19,0.03,0,0,,0,0,0.19,0.01,0,0
0.99,,0.92,0.16,0.17,0.59,0.92,0.9,,0.93,0.14,0.15,0.59,0.96,0.92
1.1,,1.01,0.18,0.2,0.58,0.88,0.97,,1.03,0.15,0.17,0.58,0.93,0.98
-1.36,,-1.3,0.31,0.32,0.91,0.9,0.8,,-1.36,0.25,0.25,0.93,0.96,0.76
-1.16,,-1.06,0.24,0.26,0.86,0.92,0.8,,-1.18,0.19,0.19,0.87,0.97,0.5
-0.83,,-0.83,0.1,0.1,0.29,0.88,1,,-0.8,0.08,0.08,0.28,0.92,1
0.1,,0.01,0.04,0.1,0.05,0.16,0.02,,0.19,0.02,0.09,0.31,1,0.03
0.26,,0.26,0.07,0.07,0.31,0.99,0.57,,0.26,0.05,0.05,0.3,0.99,0.56
0.82,,0.82,0.11,0.11,0.29,0.86,1,,0.8,0.08,0.08,0.28,0.93,1
-0.53,,-0.51,0.1,0.1,0.29,0.88,1,,-0.49,0.07,0.08,0.27,0.91,1
-0.4,,-0.37,0.08,0.09,0.29,0.92,0.98,,-0.36,0.07,0.08,0.28,0.93,0.98
0.5,,0.48,0.1,0.1,0.29,0.86,1,,0.46,0.07,0.08,0.27,0.9,1
-0.35,,-0.33,0.08,0.08,0.3,0.96,0.93,,-0.31,0.07,0.08,0.28,0.97,0.93
-0.09,,0,0.02,0.09,0.03,0.1,0,,0,0.02,0.09,0.02,0.04,0
-0.05,,0,0.01,0.05,0.03,0.09,0,,0,0,0.05,0.01,0.02,0
,,,,,,,,,,,,,,
,,,,Adaptive Lasso - $\lambda_{1se}^{w=\lambda_{1se}}$,,,,,,,,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,,,,,,
-0.71,,-0.38,0.23,0.4,-,-,0.18,,,,,,,
1.31,,1.05,0.16,0.3,-,-,1,,,,,,,
1.37,,1.12,0.14,0.28,-,-,1,,,,,,,
0.91,,0.6,0.21,0.37,-,-,0.85,,,,,,,
0.4,,0.31,0.16,0.19,-,-,0.04,,,,,,,
-0.19,,0,0,0.19,-,-,0,,,,,,,
0.99,,0.74,0.19,0.31,-,-,0.96,,,,,,,
1.1,,0.85,0.18,0.32,-,-,0.98,,,,,,,
-1.36,,-0.93,0.34,0.54,-,-,0.97,,,,,,,
-1.16,,-0.68,0.3,0.57,-,-,0.89,,,,,,,
-0.83,,-0.68,0.08,0.17,-,-,1,,,,,,,
0.1,,0,0,0.1,-,-,0,,,,,,,
0.26,,0.1,0.07,0.18,-,-,0.14,,,,,,,
0.82,,0.68,0.08,0.16,-,-,1,,,,,,,
-0.53,,-0.35,0.1,0.21,-,-,0.98,,,,,,,
-0.4,,-0.18,0.09,0.24,-,-,0.78,,,,,,,
0.5,,0.31,0.1,0.22,-,-,0.98,,,,,,,
-0.35,,-0.16,0.09,0.21,-,-,0.49,,,,,,,
-0.09,,0,0,0.09,-,-,0,,,,,,,
-0.05,,0,0,0.05,-,-,0,,,,,,,
