,,,,Lasso - $\lambda_{min}$,,,,,,,Lasso - $\lambda_{1se}$,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
-0.71,,-0.15,0.1,0.58,-,-,0.78,,-0.09,0.08,0.63,-,-,0.32
1.31,,0.76,0.13,0.56,-,-,1,,0.61,0.14,0.71,-,-,1
1.37,,0.83,0.13,0.56,-,-,1,,0.67,0.14,0.72,-,-,1
0.91,,0.38,0.13,0.54,-,-,1,,0.25,0.13,0.67,-,-,0.92
0.4,,0.1,0.08,0.31,-,-,0.3,,0.09,0.06,0.31,-,-,0.07
-0.19,,-0.05,0.05,0.14,-,-,0.06,,0,0,0.19,-,-,0
0.99,,0.49,0.14,0.51,-,-,1,,0.34,0.14,0.66,-,-,0.98
1.1,,0.58,0.14,0.54,-,-,1,,0.43,0.15,0.69,-,-,1
-1.36,,-0.52,0.15,0.85,-,-,1,,-0.33,0.13,1.04,-,-,0.98
-1.16,,-0.4,0.12,0.78,-,-,1,,-0.22,0.12,0.96,-,-,0.98
-0.83,,-0.53,0.06,0.31,-,-,1,,-0.44,0.06,0.39,-,-,1
0.1,,0.04,0.02,0.07,-,-,0.06,,0,0,0.1,-,-,0.01
0.26,,0.07,0.04,0.19,-,-,0.78,,0.05,0.03,0.22,-,-,0.4
0.82,,0.52,0.06,0.3,-,-,1,,0.44,0.06,0.38,-,-,1
-0.53,,-0.27,0.06,0.26,-,-,1,,-0.2,0.06,0.33,-,-,1
-0.4,,-0.16,0.05,0.24,-,-,0.99,,-0.1,0.05,0.31,-,-,0.96
0.5,,0.25,0.06,0.26,-,-,1,,0.17,0.06,0.33,-,-,1
-0.35,,-0.13,0.05,0.23,-,-,0.98,,-0.08,0.04,0.28,-,-,0.82
-0.09,,-0.01,0.01,0.08,-,-,0.04,,0,0,0.09,-,-,0
-0.05,,0,0,0.05,-,-,0,,0,0,0.05,-,-,0
,,,,,,,,,,,,,,
,,,,Adaptive Lasso - $\lambda_{min}^{w=\lambda_{min}}$,,,,,,,Adaptive Lasso - $\lambda_{1se}^{w=\lambda_{min}}$,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
-0.71,,-0.58,0.22,0.26,-,-,0.72,,-0.42,0.24,0.38,-,-,0.57
1.31,,1.23,0.13,0.16,-,-,1,,1.12,0.15,0.24,-,-,1
1.37,,1.29,0.11,0.14,-,-,1,,1.18,0.14,0.23,-,-,1
0.91,,0.81,0.14,0.17,-,-,1,,0.68,0.18,0.29,-,-,0.98
0.4,,0.41,0.16,0.16,-,-,0.23,,0.34,0.16,0.17,-,-,0.14
-0.19,,-0.29,0.14,0.18,-,-,0.03,,0,0.04,0.19,-,-,0.02
0.99,,0.93,0.14,0.15,-,-,1,,0.81,0.17,0.24,-,-,1
1.1,,1.04,0.14,0.15,-,-,1,,0.92,0.18,0.26,-,-,1
-1.36,,-1.29,0.24,0.25,-,-,1,,-1.1,0.3,0.39,-,-,1
-1.16,,-1.07,0.2,0.22,-,-,1,,-0.85,0.28,0.42,-,-,1
-0.83,,-0.79,0.06,0.07,-,-,1,,-0.72,0.08,0.13,-,-,1
0.1,,0.12,0.06,0.06,-,-,0.04,,0,0.01,0.1,-,-,0.01
0.26,,0.2,0.09,0.11,-,-,0.68,,0.13,0.08,0.15,-,-,0.43
0.82,,0.79,0.07,0.07,-,-,1,,0.71,0.08,0.13,-,-,1
-0.53,,-0.48,0.07,0.08,-,-,1,,-0.4,0.09,0.16,-,-,1
-0.4,,-0.35,0.07,0.09,-,-,0.99,,-0.24,0.11,0.19,-,-,0.94
0.5,,0.45,0.06,0.08,-,-,1,,0.36,0.1,0.17,-,-,1
-0.35,,-0.29,0.08,0.1,-,-,0.96,,-0.2,0.1,0.18,-,-,0.82
-0.09,,0,0.01,0.09,-,-,0,,0,0,0.09,-,-,0
-0.05,,0,0,0.05,-,-,0,,0,0,0.05,-,-,0
