,Simulation settings,,,,MPE (MAPE),,,
,N,P,C,,B - 64,B - 128,B - 256,B - 512
0,80414,500,0.5,,0.04 (0.04),0.02 (0.03),0.01 (0.02),0.0 (0.02)
1,76051,500,0.75,,0.03 (0.05),0.02 (0.04),0.01 (0.03),0.0 (0.02)
2,72180,500,0.95,,0.04 (0.06),0.02 (0.05),0.01 (0.04),0.0 (0.04)
3,71427,500,0.99,,0.03 (0.06),0.01 (0.05),0.01 (0.05),0.01 (0.05)
4,77421,1000,0.5,,0.03 (0.04),0.02 (0.03),0.01 (0.02),0.0 (0.01)
5,73952,1000,0.75,,0.03 (0.05),0.02 (0.03),0.01 (0.03),0.01 (0.02)
6,71579,1000,0.95,,0.03 (0.05),0.01 (0.05),0.0 (0.04),0.0 (0.03)
7,71159,1000,0.99,,0.04 (0.06),0.02 (0.06),0.01 (0.05),0.0 (0.05)
