,,,,ProbCox - Rank: 50 \& Batch size 512,,,,,,,ProbCox - Rank: 5 \& Batch size 512,,,,,,,glmnet - $\lambda_{min}$,,,
$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,$p_{|\hat{\theta}| > 0}$
-0.71,,-0.05,0.21,0.7,0.07,0.05,0.05,,-0.88,0.12,0.2,0.78,1,0.07,,-0.07,0.08,0.65,-,-,0.23
1.31,,1.18,0.18,0.22,0.6,0.88,0.99,,1.19,0.15,0.19,0.6,0.91,1,,0.57,0.14,0.75,-,-,1
1.37,,1.23,0.19,0.23,0.6,0.86,1,,1.27,0.16,0.19,0.59,0.92,0.99,,0.62,0.15,0.76,-,-,1
0.91,,0.84,0.17,0.19,0.62,0.93,0.67,,0.87,0.15,0.15,0.61,0.98,0.55,,0.23,0.14,0.69,-,-,0.84
0.4,,0.02,0.1,0.39,0.04,0.03,0.02,,0.03,0.12,0.39,0.05,0.06,0.05,,0.07,0.09,0.35,-,-,0.08
-0.19,,0,0,0.19,0.02,0,0,,0,0,0.19,0.01,0,0,,0,0,0.19,-,-,0
0.99,,0.9,0.17,0.19,0.63,0.92,0.74,,0.91,0.15,0.17,0.62,0.93,0.76,,0.26,0.14,0.74,-,-,0.93
1.1,,0.99,0.21,0.24,0.61,0.88,0.9,,1,0.15,0.18,0.61,0.88,0.95,,0.37,0.16,0.75,-,-,0.99
-1.36,,-1.28,0.26,0.27,0.98,0.9,0.72,,-1.38,0.26,0.26,0.99,0.95,0.57,,-0.27,0.13,1.09,-,-,0.98
-1.16,,-1.1,0.24,0.25,0.92,0.95,0.59,,-1.21,0.2,0.2,0.91,0.97,0.35,,-0.18,0.11,1,-,-,0.91
-0.83,,-0.81,0.1,0.11,0.31,0.87,1,,-0.79,0.09,0.09,0.29,0.93,1,,-0.42,0.06,0.42,-,-,1
0.1,,0.01,0.03,0.1,0.05,0.15,0,,0.01,0.03,0.1,0.04,0.09,0,,0,0,0.1,-,-,0.01
0.26,,0.25,0.06,0.06,0.33,1,0.45,,0.25,0.05,0.05,0.32,1,0.44,,0.03,0.03,0.23,-,-,0.26
0.82,,0.8,0.1,0.11,0.31,0.88,1,,0.79,0.09,0.09,0.29,0.88,1,,0.41,0.06,0.41,-,-,1
-0.53,,-0.5,0.09,0.09,0.3,0.91,1,,-0.48,0.07,0.09,0.29,0.95,1,,-0.18,0.05,0.35,-,-,1
-0.4,,-0.37,0.08,0.09,0.31,0.96,0.98,,-0.36,0.07,0.09,0.3,0.93,0.97,,-0.09,0.05,0.32,-,-,0.93
0.5,,0.47,0.09,0.1,0.3,0.89,1,,0.46,0.08,0.09,0.29,0.9,1,,0.16,0.05,0.35,-,-,1
-0.35,,-0.33,0.09,0.09,0.31,0.96,0.85,,-0.32,0.07,0.08,0.3,0.99,0.87,,-0.06,0.05,0.29,-,-,0.72
-0.09,,-0.01,0.03,0.09,0.04,0.13,0.01,,-0.01,0.03,0.09,0.03,0.07,0.01,,0,0,0.09,-,-,0
-0.05,,0,0.02,0.05,0.03,0.07,0,,0,0.01,0.05,0.01,0.02,0,,0,0,0.05,-,-,0
