130001-0.0,Source of report of A00 (cholera)
130003-0.0,Source of report of A01 (typhoid and paratyphoid fevers)
130005-0.0,Source of report of A02 (other salmonella infections)
130007-0.0,Source of report of A03 (shigellosis)
130009-0.0,Source of report of A04 (other bacterial intestinal infections)
130011-0.0,Source of report of A05 (other bacterial foodborne intoxications)
130013-0.0,Source of report of A06 (amoebiasis)
130015-0.0,Source of report of A07 (other protozoal intestinal diseases)
130017-0.0,Source of report of A08 (viral and other specified intestinal infections)
130019-0.0,Source of report of A09 (diarrhoea and gastro-enteritis of presumed infectious origin)
130021-0.0,"Source of report of A15 (respiratory tuberculosis, bacteriologically and histologically confirmed)"
130023-0.0,"Source of report of A16 (respiratory tuberculosis, not confirmed bacteriologically or histologically)"
130025-0.0,Source of report of A17 (tuberculosis of nervous system)
130027-0.0,Source of report of A18 (tuberculosis of other organs)
130029-0.0,Source of report of A19 (miliary tuberculosis)
130031-0.0,Source of report of A20 (plague)
130035-0.0,Source of report of A22 (anthrax)
130037-0.0,Source of report of A23 (brucellosis)
130039-0.0,Source of report of A24 (glanders and melioidosis)
130041-0.0,Source of report of A25 (rat-bite fevers)
130043-0.0,Source of report of A26 (erysipeloid)
130045-0.0,Source of report of A27 (leptospirosis)
130047-0.0,"Source of report of A28 (other zoonotic bacterial diseases, not elsewhere classified)"
130049-0.0,Source of report of A30 (leprosy [hansen's disease])
130051-0.0,Source of report of A31 (infection due to other mycobacteria)
130053-0.0,Source of report of A32 (listeriosis)
130055-0.0,Source of report of A33 (tetanus neonatorum)
130059-0.0,Source of report of A35 (other tetanus)
130061-0.0,Source of report of A36 (diphtheria)
130063-0.0,Source of report of A37 (whooping cough)
130065-0.0,Source of report of A38 (scarlet fever)
130067-0.0,Source of report of A39 (meningococcal infection)
130069-0.0,Source of report of A40 (streptococcal septicaemia)
130071-0.0,Source of report of A41 (other septicaemia)
130073-0.0,Source of report of A42 (actinomycosis)
130075-0.0,Source of report of A43 (nocardiosis)
130077-0.0,Source of report of A44 (bartonellosis)
130079-0.0,Source of report of A46 (erysipelas)
130081-0.0,"Source of report of A48 (other bacterial diseases, not elsewhere classified)"
130083-0.0,Source of report of A49 (bacterial infection of unspecified site)
130085-0.0,Source of report of A50 (congenital syphilis)
130087-0.0,Source of report of A51 (early syphilis)
130089-0.0,Source of report of A52 (late syphilis)
130091-0.0,Source of report of A53 (other and unspecified syphilis)
130093-0.0,Source of report of A54 (gonococcal infection)
130095-0.0,Source of report of A55 (chlamydial lymphogranuloma (venereum))
130097-0.0,Source of report of A56 (other sexually transmitted chlamydial diseases)
130101-0.0,Source of report of A58 (granuloma inguinale)
130103-0.0,Source of report of A59 (trichomoniasis)
130105-0.0,Source of report of A60 (anogenital herpesviral [herpes simplex] infections)
130107-0.0,"Source of report of A63 (other predominantly sexually transmitted diseases, not elsewhere classified)"
130109-0.0,Source of report of A64 (unspecified sexually transmitted disease)
130113-0.0,Source of report of A66 (yaws)
130115-0.0,Source of report of A67 (pinta [carate])
130117-0.0,Source of report of A68 (relapsing fevers)
130119-0.0,Source of report of A69 (other spirochaetal infections)
130121-0.0,Source of report of A70 (chlamydia psittaci infection)
130123-0.0,Source of report of A71 (trachoma)
130125-0.0,Source of report of A74 (other diseases caused by chlamydiae)
130127-0.0,Source of report of A75 (typhus fever)
130129-0.0,Source of report of A77 (spotted fever [tick-borne rickettsioses])
130131-0.0,Source of report of A78 (q fever)
130133-0.0,Source of report of A79 (other rickettsioses)
130135-0.0,Source of report of A80 (acute poliomyelitis)
130137-0.0,Source of report of A81 (atypical virus infections of central nervous system)
130139-0.0,Source of report of A82 (rabies)
130141-0.0,Source of report of A83 (mosquito-borne viral encephalitis)
130143-0.0,Source of report of A84 (tick-borne viral encephalitis)
130145-0.0,"Source of report of A85 (other viral encephalitis, not elsewhere classified)"
130147-0.0,Source of report of A86 (unspecified viral encephalitis)
130149-0.0,Source of report of A87 (viral meningitis)
130151-0.0,"Source of report of A88 (other viral infections of central nervous system, not elsewhere classified)"
130153-0.0,Source of report of A89 (unspecified viral infection of central nervous system)
130155-0.0,Source of report of A90 (dengue fever [classical dengue])
130157-0.0,Source of report of A91 (dengue haemorrhagic fever)
130159-0.0,Source of report of A92 (other mosquito-borne viral fevers)
130161-0.0,"Source of report of A93 (other arthropod-borne viral fevers, not elsewhere classified)"
130163-0.0,Source of report of A94 (unspecified arthropod-borne viral fever)
130165-0.0,Source of report of A95 (yellow fever)
130169-0.0,Source of report of A97 (dengue)
130171-0.0,"Source of report of A98 (other viral haemorrhagic fevers, not elsewhere classified)"
130175-0.0,Source of report of B00 (herpesviral [herpes simplex] infections)
130177-0.0,Source of report of B01 (varicella [chickenpox])
130179-0.0,Source of report of B02 (zoster [herpes zoster])
130181-0.0,Source of report of B03 (smallpox)
130185-0.0,Source of report of B05 (measles)
130187-0.0,Source of report of B06 (rubella [german measles])
130189-0.0,Source of report of B07 (viral warts)
130191-0.0,"Source of report of B08 (other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified)"
130193-0.0,Source of report of B09 (unspecified viral infection characterised by skin and mucous membrane lesions)
130195-0.0,Source of report of B15 (acute hepatitis a)
130197-0.0,Source of report of B16 (acute hepatitis b)
130199-0.0,Source of report of B17 (other acute viral hepatitis)
130201-0.0,Source of report of B18 (chronic viral hepatitis)
130203-0.0,Source of report of B19 (unspecified viral hepatitis)
130205-0.0,Source of report of B20 (human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases)
130207-0.0,Source of report of B21 (human immunodeficiency virus [hiv] disease resulting in malignant neoplasms)
130209-0.0,Source of report of B22 (human immunodeficiency virus [hiv] disease resulting in other specified diseases)
130211-0.0,Source of report of B23 (human immunodeficiency virus [hiv] disease resulting in other conditions)
130213-0.0,Source of report of B24 (unspecified human immunodeficiency virus [hiv] disease)
