,0,1,2,3,4
0,"N: 5000(41267), P: 10, C: 0.5",0.0495,0.0397,0.0276,0.0201
1,"N: 5000(39895), P: 10, C: 0.75",0.0561,0.0488,0.0378,0.0283
2,"N: 5000(38961), P: 10, C: 0.95",0.0714,0.0671,0.0651,0.0529
3,"N: 5000(39181), P: 10, C: 0.99",0.0721,0.0744,0.074,0.0722
4,"N: 10000(82470), P: 10, C: 0.5",0.046,0.0369,0.0263,0.0201
5,"N: 10000(80139), P: 10, C: 0.75",0.051,0.046,0.0355,0.0254
6,"N: 10000(77624), P: 10, C: 0.95",0.0656,0.0653,0.0565,0.0474
7,"N: 10000(77930), P: 10, C: 0.99",0.0661,0.0709,0.0681,0.0639
8,"N: 5000(41965), P: 20, C: 0.5",0.0846,0.0684,0.0507,0.0351
9,"N: 5000(40103), P: 20, C: 0.75",0.0998,0.0834,0.063,0.0455
10,"N: 5000(38850), P: 20, C: 0.95",0.1122,0.1163,0.0979,0.084
11,"N: 5000(38971), P: 20, C: 0.99",0.1263,0.1224,0.1156,0.1042
12,"N: 10000(84355), P: 20, C: 0.5",0.0806,0.0672,0.048,0.0355
13,"N: 10000(81082), P: 20, C: 0.75",0.0976,0.076,0.0573,0.0415
14,"N: 10000(78661), P: 20, C: 0.95",0.1074,0.1029,0.0933,0.0749
15,"N: 10000(77373), P: 20, C: 0.99",0.1164,0.107,0.101,0.0943
