,0,1,2,3,4,5
0,-0.71,-0.24,0.36,0.6,0.25,0.31
1,1.31,1.24,0.13,0.14,0.51,0.91
2,1.37,1.36,0.15,0.15,0.51,0.91
3,0.91,0.79,0.26,0.28,0.5,0.89
4,0.4,0.02,0.12,0.39,0.03,0.03
5,-0.19,-0.0,0.0,0.19,0.01,0.0
6,0.99,0.89,0.24,0.26,0.51,0.9
7,1.1,1.03,0.22,0.23,0.51,0.94
8,-1.36,-1.26,0.35,0.36,0.79,0.91
9,-1.16,-1.01,0.37,0.4,0.71,0.83
10,-0.83,-0.81,0.08,0.08,0.25,0.9
11,0.1,0.01,0.03,0.1,0.03,0.08
12,0.26,0.2,0.1,0.11,0.24,0.8
13,0.82,0.8,0.07,0.07,0.25,0.94
14,-0.53,-0.5,0.07,0.08,0.25,0.92
15,-0.4,-0.37,0.06,0.07,0.25,0.93
16,0.5,0.48,0.06,0.07,0.24,0.93
17,-0.35,-0.32,0.08,0.09,0.25,0.88
18,-0.09,-0.01,0.03,0.09,0.03,0.07
19,-0.05,-0.0,0.02,0.05,0.01,0.03
