$\theta$   ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ ,,$\bar{\hat{\theta}}$ ,$\overline{\sigma_{\hat{\theta}}}$,$RMSE$ ,$\overline{HPD}_{95\%}$,$Coverage_{95\%}$ 
-0.71,,-0.24,0.36,0.6,0.25,0.31,,-0.21,0.35,0.62,0.21,0.25
1.31,,1.24,0.13,0.14,0.51,0.91,,1.24,0.13,0.14,0.51,0.93
1.37,,1.36,0.15,0.15,0.51,0.91,,1.36,0.15,0.15,0.51,0.93
0.91,,0.79,0.26,0.28,0.5,0.89,,0.8,0.24,0.26,0.51,0.92
0.4,,0.02,0.12,0.39,0.03,0.03,,0.04,0.15,0.39,0.05,0.06
-0.19,,0,0,0.19,0.01,0,,0,0,0.19,0.01,0
0.99,,0.89,0.24,0.26,0.51,0.9,,0.92,0.16,0.17,0.53,0.93
1.1,,1.03,0.22,0.23,0.51,0.94,,1.05,0.13,0.14,0.53,0.95
-1.36,,-1.26,0.35,0.36,0.79,0.91,,-1.31,0.24,0.25,0.82,0.92
-1.16,,-1.01,0.37,0.4,0.71,0.83,,-1.03,0.31,0.34,0.74,0.86
-0.83,,-0.81,0.08,0.08,0.25,0.9,,-0.81,0.08,0.08,0.25,0.91
0.1,,0.01,0.03,0.1,0.03,0.08,,0.01,0.03,0.1,0.03,0.08
0.26,,0.2,0.1,0.11,0.24,0.8,,0.2,0.09,0.11,0.25,0.81
0.82,,0.8,0.07,0.07,0.25,0.94,,0.8,0.07,0.07,0.25,0.95
-0.53,,-0.5,0.07,0.08,0.25,0.92,,-0.5,0.07,0.08,0.25,0.92
-0.4,,-0.37,0.06,0.07,0.25,0.93,,-0.38,0.06,0.07,0.25,0.94
0.5,,0.48,0.06,0.07,0.24,0.93,,0.48,0.06,0.07,0.25,0.94
-0.35,,-0.32,0.08,0.09,0.25,0.88,,-0.32,0.08,0.08,0.25,0.91
-0.09,,-0.01,0.03,0.09,0.03,0.07,,-0.01,0.03,0.09,0.03,0.07
-0.05,,0,0.02,0.05,0.01,0.03,,0,0.02,0.05,0.02,0.03
